Productnaam;Productnummer;Inkoopprijs ;Verkoopprijs ex btw;Verkoopprijs in btw;Marge;
Perlatorhuls FX;20.379.00; € 2,69 ; € 7,69 ; € 9,30 ; € 5,00 ;
Aansluitmateriaal NF;21.079.00; € 5,37 ; € 15,34 ; € 18,56 ; € 9,97 ;
Aansluitmateriaal NQK;21.116.00; € 5,37 ; € 15,34 ; € 18,56 ; € 9,97 ;
Aansluitmateriaal FX;21.130.00; € 5,37 ; € 15,34 ; € 18,56 ; € 9,97 ;
Supplementkit FX;21.136.00; € 5,37 ; € 15,34 ; € 18,56 ; € 9,97 ;
Supplement Kit FT;21.198.00; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
PVC-nippel;30.027.00; € 2,69 ; € 7,69 ; € 9,30 ; € 5,00 ;
Mengventiel;31.002.00; € 45,66 ; € 152,89 ; € 185,00 ; € 107,23 ;
Serviceset Afvoer/Boorsetje;31.024.00; € 11,28 ; € 32,23 ; € 39,00 ; € 20,95 ;
Serviceset ombouw Combi+;31.093.00; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Supplements kit 2: Combi EQ;31.096.00; € 21,49 ; € 61,40 ; € 74,29 ; € 39,91 ;
Supplements kit 3: Combi+ EQ;31.097.00; € 21,49 ; € 61,40 ; € 74,29 ; € 39,91 ;
Mengventiel Combi+;31.103.00; € 45,66 ; € 130,46 ; € 185,00 ; € 84,80 ;
Serviceset Keramische Afsluiter;31.103.00; € 24,17 ; € 69,06 ; € 83,56 ; € 44,89 ;
Serviceset afdekplaat CHR;31.111.01; € 13,43 ; € 38,37 ; € 46,43 ; € 24,94 ;
Serviceset afdekplaat SST;31.111.04; € 18,81 ; € 53,74 ; € 65,03 ; € 34,93 ;
Serviceset Afdekplaat PTN;31.111.07; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset afdekplaat BLK;31.111.09; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset afdekplaat GME;31.111.20; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset afdekplaat RCO;31.111.21; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset Perlator Nordic Fusion;31.159.00; € 7,52 ; € 21,49 ; € 26,00 ; € 13,97 ;
Serviceset Perlator Nordic Fusion CHR;31.159.01; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Serviceset Perlator Nordic Fusion SST;31.159.04; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Serviceset Perlator Nordic Fusion GLD;31.159.05; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Serviceset Perlator Nordic Fusion PTB;31.159.07; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Serviceset Perlator Nordic Fusion BLK;31.159.09; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Serviceset Perlator Nordic Fusion GME;31.159.20; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Serviceset Perlator Nordic Fusion RCO;31.159.21; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Inlaatcombination 8 bar;31.164.01; € 23,10 ; € 66,00 ; € 80,00 ; € 42,90 ;
Serviceset Perlator Nordic Quooker kraan CHR;31.167.01; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Perlator MK CHR;31.168.01; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Serviceset kap 7L EQ EU;31.179.00; € 53,72 ; € 161,16 ; € 195,00 ; € 107,44 ;
Serviceset Binnenwerk Combi EQ;31.195.00; € 96,69 ; € 276,26 ; € 335,00 ; € 179,57 ;
Serviceset Binnenwerk PRO3 EQ;31.197.00; € 80,58 ; € 231,40 ; € 280,00 ; € 150,82 ;
Serviceset Binnenwerk PRO3 EQ B;31.198.00; € 80,58 ; € 231,40 ; € 280,00 ; € 150,82 ;
Serviceset Binnenwerk PRO7 EQ;31.200.00; € 91,33 ; € 264,46 ; € 320,00 ; € 173,13 ;
Serviceset Rozet Flex CHR;31.204.04; € 13,43 ; € 38,37 ; € 46,43 ; € 24,94 ;
Serviceset Rozet Flex SST;31.204.09; € 18,81 ; € 53,74 ; € 65,03 ; € 34,93 ;
Serviceset Rozet Flex BLK;31.204.20; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset Rozet Flex GME;31.204.21; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset Rozet Flex RCO;31.204.21; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset terugslagklep inlet;31.207.00; € 21,49 ; € 61,40 ; € 74,29 ; € 39,91 ;
Serviceset Rozet Nordic 3mm CHR;31.211.01; € 13,43 ; € 38,37 ; € 46,43 ; € 24,94 ;
Serviceset Rozet Nordic 3mm SST;31.211.04; € 18,81 ; € 53,74 ; € 65,03 ; € 34,93 ;
Serviceset Rozet Nordic 3mm GLD;31.211.05; € 32,23 ; € 92,09 ; € 111,42 ; € 59,86 ;
Serviceset Rozet Nordic 3mm PTN;31.211.07; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset Rozet Nordic 3mm BLK;31.211.09; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset Rozet Nordic 3mm GME;31.211.20; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset Rozet Nordic 3mm RCO;31.212.01; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset Rozet Zeeppomp 3mm CHR;31.212.01; € 13,43 ; € 38,37 ; € 46,43 ; € 24,94 ;
Serviceset Rozet Zeeppomp 3mm SST;31.212.04; € 18,81 ; € 53,74 ; € 65,03 ; € 34,93 ;
Serviceset Rozet Zeeppomp 3mm GLD;31.212.05; € 32,23 ; € 92,09 ; € 111,42 ; € 59,86 ;
Serviceset Rozet Zeeppomp 3mm PTB;31.212.07; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset Rozet Zeeppomp 3mm BLK;31.212.09; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset Rozet Zeeppomp 3mm GME;31.212.20; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset Rozet Zeeppomp 3mm RCO;31.212.21; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Serviceset koppelstuk flex;31.227.00; € 24,17 ; € 69,06 ; € 83,56 ; € 44,89 ;
Serviceset Perlator Nordic Single Tap Classic CHR;31.230.01; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Serviceset NQ Classic SST Perlator;31.230.04; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Serviceset flex cartridge;; € 41,32 ; € 161,16 ; € 195,00 ; € 119,84 ;
Service slang Uitloop Flex;31.234.00; € 16,11 ; € 57,85 ; € 70,00 ; € 41,74 ;
Serviceset NF Classic perlator CHR;31.258.04; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Serviceset NF Classic perlator RVS;31.258.07; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Serviceset NF Classic perlator PTB;31.278.00; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
"Serviceset QC Twistlock 1/4""";31.281.00; € 13,43 ; € 38,37 ; € 46,43 ; € 24,94 ;
Serviceset Kap 3L E EU;31.312.00; € 53,72 ; € 103,31 ; € 125,00 ; € 49,59 ;
Serviceset stelschroef FX;31.334.00; € 2,69 ; € 7,69 ; € 9,30 ; € 5,00 ;
Serviceset Perlator Nordic/Basic/Classic/Design/Modern;31.336.00; € 7,52 ; € 21,49 ; € 26,00 ; € 13,97 ;
Vervangingsset afvoerslang;31.360.00; € 2,69 ; € 7,69 ; € 9,30 ; € 5,00 ;
Verlengset CUBE CB 1.5 meter;31.377.00; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Verlengset CUBE CB 2 meter;31.390.00; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Service set FT - Aerator kit;31.402.00; € 7,52 ; € 21,49 ; € 26,00 ; € 13,97 ;
Service set Gasket rings;31.402.01; € 2,69 ; € 7,69 ; € 9,30 ; € 5,00 ;
Serviceset hoses mixer tap;31.420.00; € 10,75 ; € 30,71 ; € 37,16 ; € 19,96 ;
Serviceset QRV COMBI B;31.430.00; € 21,49 ; € 61,40 ; € 74,29 ; € 39,91 ;
Serviceset COMBI+ B QRV;31.431.00; € 21,49 ; € 61,40 ; € 74,29 ; € 39,91 ;
Service part - End cap PVC connector EQ;31.439.00; € 5,37 ; € 15,34 ; € 18,56 ; € 9,97 ;
Service set - CO2 connection set;50.208.00; € 40,29 ; € 115,11 ; € 139,29 ; € 74,82 ;
Kabel 4-polig QC;51.006.00; € 5,37 ; € 15,34 ; € 18,56 ; € 9,97 ;
Verlengset EQ L=30;51.006.01; € 8,06 ; € 23,03 ; € 27,86 ; € 14,97 ;
Verlengset EQ L=60;51.006.03; € 16,11 ; € 46,03 ; € 55,69 ; € 29,92 ;
Verlengset EQ L=100;51.006.05; € 26,86 ; € 76,74 ; € 92,86 ; € 49,88 ;
Verlengset EQ L=150;51.030.00; € 40,29 ; € 115,11 ; € 139,29 ; € 74,82 ;
Aansluitmateriaal ND;51.034.00; € 16,11 ; € 46,03 ; € 55,69 ; € 29,92 ;
Flacon ND;51.034.01; € 5,37 ; € 15,34 ; € 18,56 ; € 9,97 ;
Hitac filter;; € 33,06 ; € 94,46 ; € 114,29 ; € 61,40 ;
reduceerventiel;; € 35,00 ; € 100,00 ; € 145,00 ; € 65,00 ;
Led module FLEX;; € 24,79 ; € 70,83 ; € 195,00 ; € 46,04 ;
Drukknop FLEX;; € 28,93 ; € 82,66 ; € 195,00 ; € 53,73 ;
Filter Cube 1;; € 25,00 ; € 71,43 ; € 80,00 ; € 46,43 ;
